V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
-0.5433467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.563814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5703225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5805154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5839453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6317619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6723777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6997416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7069838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7373072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7623134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8422254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8567686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8790073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9062647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.923663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9405692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9334808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9628225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9848906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0266288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.029157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0526789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0906318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0781017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0622761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1016538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1098529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.113078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1274221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1230353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0955317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0802337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0672063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0772822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0794615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0795302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0959574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.103418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1037529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1008725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0926741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0628255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0490654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.030558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0145063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0010833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0040619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9867662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9441201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9460379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.951446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9464078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9735161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0409013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0470633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0416214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0231911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9883692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9818888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9899241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9774224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9703651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9659367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8724887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.842534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8121968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7814593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7503018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7187034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7178205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7169374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7160539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.71517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.713401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.712516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7116307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.710745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7098589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7002368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6905716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6808626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6711094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6613109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6514666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6415757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6316376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6216512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6116159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6009048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5901366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5684249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5574792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5464722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5354028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5242697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5130718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5018078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.495553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4892775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.482981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4766632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4703239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4639628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
