# This file lists the individual Hector runs to be performed for each emissions scenario,,,,,,
# The first two columns (mean, SD) give information about the S distribution used;,,,,,
# `param_set` gives the relevant line number in the S data file;,,,,,,
# `temperature.S`` is the random draw from that distribution;,,,,,,
# and the last (run_number) a sequentially increasing run number, i.e. line number in runset file.,,,,,
type,mean,SD,param_set,temperature.S,run_number,runname_mc
AR5,3,NA,1,3.408,1,rffsps_1
AR5,3,NA,1,3.505,1,rffsps_1
AR5,3,NA,1,3.469,1,rffsps_1
AR5,3,NA,1,0.622,1,rffsps_1
AR5,3,NA,1,0.933,1,rffsps_1
AR5,3,NA,1,1.795,1,rffsps_1
AR5,3,NA,1,2.773,1,rffsps_1
AR5,3,NA,1,2.373,1,rffsps_1
AR5,3,NA,1,2.287,1,rffsps_1
AR5,3,NA,1,2.621,1,rffsps_1
AR5,3,NA,1,2.214,1,rffsps_1
AR5,3,NA,1,5.331,1,rffsps_1
AR5,3,NA,1,0.995,1,rffsps_1
AR5,3,NA,1,4.432,1,rffsps_1
AR5,3,NA,1,0.633,1,rffsps_1
AR5,3,NA,1,4.355,1,rffsps_1
AR5,3,NA,1,2.143,1,rffsps_1
AR5,3,NA,1,2.645,1,rffsps_1
AR5,3,NA,1,3.231,1,rffsps_1
AR5,3,NA,1,4.78,1,rffsps_1
AR5,3,NA,1,1.013,1,rffsps_1
AR5,3,NA,1,2.194,1,rffsps_1
AR5,3,NA,1,4.613,1,rffsps_1
AR5,3,NA,1,4.653,1,rffsps_1
AR5,3,NA,1,4.832,1,rffsps_1
AR5,3,NA,1,3.742,1,rffsps_1
AR5,3,NA,1,2.743,1,rffsps_1
AR5,3,NA,1,0.901,1,rffsps_1
AR5,3,NA,1,2.159,1,rffsps_1
AR5,3,NA,1,2.013,1,rffsps_1
AR5,3,NA,1,3.238,1,rffsps_1
AR5,3,NA,1,0.958,1,rffsps_1
AR5,3,NA,1,3.927,1,rffsps_1
AR5,3,NA,1,2.959,1,rffsps_1
AR5,3,NA,1,2.33,1,rffsps_1
AR5,3,NA,1,2.769,1,rffsps_1
AR5,3,NA,1,2.573,1,rffsps_1
AR5,3,NA,1,3.989,1,rffsps_1
AR5,3,NA,1,2.652,1,rffsps_1
AR5,3,NA,1,2.513,1,rffsps_1
AR5,3,NA,1,3.017,1,rffsps_1
AR5,3,NA,1,0.759,1,rffsps_1
AR5,3,NA,1,1.435,1,rffsps_1
AR5,3,NA,1,2.323,1,rffsps_1
AR5,3,NA,1,1.982,1,rffsps_1
AR5,3,NA,1,2.97,1,rffsps_1
AR5,3,NA,1,3.053,1,rffsps_1
AR5,3,NA,1,2.532,1,rffsps_1
AR5,3,NA,1,3.691,1,rffsps_1
AR5,3,NA,1,3.231,1,rffsps_1
AR5,3,NA,1,1.91,1,rffsps_1
AR5,3,NA,1,1.866,1,rffsps_1
AR5,3,NA,1,2.192,1,rffsps_1
AR5,3,NA,1,4.697,1,rffsps_1
AR5,3,NA,1,2.299,1,rffsps_1
AR5,3,NA,1,2.962,1,rffsps_1
AR5,3,NA,1,3.757,1,rffsps_1
AR5,3,NA,1,3.289,1,rffsps_1
AR5,3,NA,1,2.423,1,rffsps_1
AR5,3,NA,1,3.555,1,rffsps_1
AR5,3,NA,1,2.273,1,rffsps_1
AR5,3,NA,1,5.033,1,rffsps_1
AR5,3,NA,1,4.097,1,rffsps_1
AR5,3,NA,1,3.666,1,rffsps_1
AR5,3,NA,1,3.148,1,rffsps_1
AR5,3,NA,1,4.972,1,rffsps_1
AR5,3,NA,1,4.035,1,rffsps_1
AR5,3,NA,1,2.376,1,rffsps_1
AR5,3,NA,1,4.933,1,rffsps_1
AR5,3,NA,1,4.051,1,rffsps_1
AR5,3,NA,1,3.848,1,rffsps_1
AR5,3,NA,1,3.99,1,rffsps_1
AR5,3,NA,1,2.048,1,rffsps_1
AR5,3,NA,1,3.82,1,rffsps_1
AR5,3,NA,1,4.19,1,rffsps_1
AR5,3,NA,1,1.301,1,rffsps_1
AR5,3,NA,1,2.999,1,rffsps_1
AR5,3,NA,1,2.857,1,rffsps_1
AR5,3,NA,1,3.09,1,rffsps_1
AR5,3,NA,1,2.202,1,rffsps_1
AR5,3,NA,1,4.041,1,rffsps_1
AR5,3,NA,1,2.851,1,rffsps_1
AR5,3,NA,1,1.858,1,rffsps_1
AR5,3,NA,1,1.17,1,rffsps_1
AR5,3,NA,1,3.779,1,rffsps_1
