# Index: time, region,,,,,,,
# Unit: W/m2,,,,,,,,
year,EU,US,OT,EE,CA,IA,AF,LA
2009,92.79135671,87.50578107,99.66489087,97.31910501,99.07818913,103.4681722,100.3291458,100.2760863
2010,85.58271343,75.01156213,99.32978175,94.63821002,98.15637825,106.9363445,100.6582916,100.5521726
2020,52.85157634,34.67750543,93.87351779,59.87671372,45.60677908,127.2366299,92.9279551,83.03230468
2030,50.67304286,26.85972464,77.03213611,59.42602096,38.01007932,159.9081772,87.33509927,88.43791929
2040,40.09918526,19.48664129,61.69444922,47.0683163,31.33572203,143.9012284,76.79194314,81.14872536
2050,32.94367694,15.90238002,49.92266712,39.72638588,25.70863546,108.2268271,65.953736,66.26070802
2075,20.20899752,11.76669394,32.90943461,21.46242531,15.23327025,94.74810771,55.16798238,51.59201156
2100,27.41764081,8.75164538,21.52431689,13.68797523,9.457333021,68.81126691,37.79275617,61.65496955
2150,27.41764081,8.75164538,21.52431689,13.68797523,9.457333021,68.81126691,37.79275617,61.65496955
2200,27.41764081,8.75164538,21.52431689,13.68797523,9.457333021,68.81126691,37.79275617,61.65496955
