; RCP 26 emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;UNITS:,GtC/yr,GtC/yr,MtCH4/yr,MtN2O-N/yr,MtS/yr,Gg/yr,MtCO/yr,Mt/yr,MtN/yr,Mt/yr,Mt/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
Date,ffi_emissions,luc_emissions,CH4_emissions,N2O_emissions,SOx,SO2_emissions,CO_emissions,NMVOC_emissions,NOX_emissions,BC_emissions,OC_emissions,NH3,CF4_emissions,C2F6_emissions,C6F14,HFC23_emissions,HFC32_emissions,HFC4310_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC245fa_emissions,SF6_emissions,CFC11_emissions,CFC12_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CCl4_emissions,CH3CCl3_emissions,HCFC22_emissions,HCFC141b_emissions,HCFC142b_emissions,halon1211_emissions,HALON1202,halon1301_emissions,halon2402_emissions,CH3Br_emissions,CH3Cl_emissions
1765,0.002996727,0.081175867,20.919155,0.072496884,1.250725203,1250.725203,352.9327258,60.62945786,3.878155223,2.123600022,15.67992411,5.857256032,0.010071225,0,0,0,0.0000303,0,0,0,0,0.00000139,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.07293,4274.9668
1766,0.003343636,0.081175867,20.8535919,0.073866514,1.244142077,1244.142077,349.380645,59.85878463,3.884852898,2.110459977,15.35883081,5.794597143,0.010071225,0,0,0,0.0000344,0,0,0,0,0.00000142,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.07758,4275.2111
1767,0.003344455,0.081175867,20.99917946,0.07526202,1.243308056,1243.308056,349.616099,59.8910269,3.880476349,2.112460701,15.4005645,5.802079646,0.010071225,0,0,0,0.0000384,0,0,0,0,0.00000146,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.08566,4275.6359
1768,0.003345545,0.081175867,21.65945211,0.07668389,1.294705423,1294.705423,362.6536848,62.36582555,4.039005154,2.18313204,16.0637302,5.948861735,0.010071225,0,0,0,0.0000425,0,0,0,0,0.00000149,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.04673,4273.5893
1769,0.003346636,0.081175867,21.49633535,0.078132622,1.273362221,1273.362221,355.0254185,60.95040361,3.914619863,2.137633742,15.73509479,5.894711285,0.010071225,0,0,0,0.0000465,0,0,0,0,0.00000153,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.0767,4275.165
1770,0.003347455,0.081175867,21.63439757,0.079608724,1.27749221,1277.49221,355.3605476,60.96602721,3.927122991,2.139364739,15.74271509,5.893158587,0.010071225,0,0,0,0.0000506,0,0,0,0,0.00000157,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.04544,4273.5216
1771,0.003712364,0.08266927,21.4289211,0.081112713,1.230128239,1230.128239,347.8619883,59.42424033,3.843192573,2.100909701,15.32197739,5.821709275,0.010071225,0,0,0,0.0000547,0,0,0,0,0.0000016,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.07227,4274.9318
1772,0.003713182,0.084190146,21.39461572,0.082645116,1.217836348,1217.836348,344.6134738,58.72495295,3.812980037,2.087077541,15.11418329,5.800307521,0.010071225,0,0,0,0.0000587,0,0,0,0,0.00000164,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.08887,4275.8046
1773,0.003714273,0.085739002,21.59523139,0.084206469,1.220686645,1220.686645,345.7768091,58.91656885,3.795742519,2.092755603,15.20466379,5.850767782,0.010071225,0,0,0,0.0000628,0,0,0,0,0.00000167,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.06952,4274.7874
