"","USA","CAN","WEU","JPK","ANZ","CEE","FSU","MDE","CAM","SAM","SAS","SEA","CHI","NAF","SSA","SIS"
"1990",6342.99999999999,532.499999000001,8285.39999900001,5100.70000000001,359.499999999999,338.1,911.801364108461,447.3,296.000001,1078.000001,351.5,456.199999999999,511.399999,137.299999,275.100001000001,37.1999999999999
"2000",11142.266625,633.291113244675,10113.4621681629,5533.30899429333,457.634442461997,553.564738992355,1492.87513793426,732.355834815972,484.6352064339,1764.98902451145,575.504305695985,746.927636581814,1360.27253,224.79869302007,450.416031500627,60.9068568190344
"2010",13108.8310526191,730.087490033862,11831.3646789277,6373.04567555075,548.813943205984,729.772411744019,986.108375143389,1237.39648297857,813.818895537462,2879.93175356389,1139.71867419478,1497.15537087927,2892.59717811,366.878800082132,639.843011851935,101.547559007933
"2020",16214.5588935338,803.204593746826,14170.285800707,7483.80811423121,644.467096340593,830.617487414803,1584.05398214541,1584.02276326331,994.646176503596,4465.00279661163,2061.45708777118,2195.83846818919,5184.76558064517,484.930270982349,856.416812109134,126.903828249517
"2030",19984.9696510557,891.018866305152,16748.2867922535,8589.26153810989,739.66306440291,1057.09679637511,2484.97059988419,2113.60761612672,1215.99703811236,6825.72299639351,3230.27715756334,2751.71115027347,8220.09270218535,663.112738870959,1171.09805651521,155.145299828108
"2040",24257.2417689981,971.216796368234,19156.0221842482,9577.62302421005,824.775676506177,1421.66212777683,3790.55197259249,2895.0807043375,1563.77611295964,10155.1616615361,4926.54773534937,3627.5185118406,12129.8012094998,930.938133115893,1644.09424600132,199.51735596805
"2050",28071.451845282,1062.60834538293,21340.7527428786,10680.2822498443,919.731022574759,1843.66826816573,5419.71328381032,4031.97324952301,2095.73395336607,14708.9729548555,7315.05249938322,4983.68388230424,16283.847458055,1328.97177550781,2347.04624452047,267.388210961154
"2060",32036.9878361029,1170.29813368552,23627.9465974207,11932.6642477775,1027.57972438505,2233.63270979651,6964.53190906289,5522.1464239486,2799.85566826273,20044.3570605096,10219.2251822909,6825.59888809093,20812.0837328502,1865.82139992697,3295.15584179447,357.224922029714
"2070",36108.0561782681,1282.06114269107,26108.1310581717,13271.6957404738,1142.89023540225,2651.04953279444,8485.38919084347,7172.24034961949,3547.12429991685,26484.5906825273,13842.8411380126,8865.18248469019,25306.7768878773,2484.255836061,4387.34925595172,452.566614711869
"2080",40304.2210875934,1407.20532309655,28888.1851405758,14733.0606249073,1268.73546945816,3056.58494274901,9816.82426638042,8577.11821725416,4137.65318628452,33463.3362950953,17931.2302389177,10601.6690018974,29290.8619799723,3045.54434827755,5378.61943863634,527.910368241805
"2090",44590.8864714664,1550.75284597612,32009.666691507,16327.326714886,1406.02547237113,3503.23291324079,10597.84432177,9845.13184272634,4642.86726841839,39313.4637729607,21549.1487969263,12168.985716748,32260.1399614741,3583.78336063829,6329.18278083598,592.369069861438
"2100",49325.65333127,1711.90650417921,35448.7743823528,18077.6205032445,1556.75177885958,4043.89478942735,10989.635878847,11178.2540475746,5202.27193639532,44296.4103461929,24603.8461967218,13816.779299265,35634.9293237716,4153.06428865891,7334.56806351241,663.741780664459
"2110",52784.8712352105,1985.6951591222,39194.4519122612,20968.8107581271,1805.72622610511,4493.57791352275,11233.2173502676,12309.3451653727,5702.29933217188,49331.8477316554,27531.3785701612,15214.854193203,41375.357203299,4606.10872457519,8118.70451848944,727.538729019243
"2120",56301.2666141739,2264.00927167273,43002.0418135084,23907.789548793,2058.81597647235,4963.21445596675,11522.8924476345,13511.8589303044,6233.76360610077,54695.750405163,30653.8009866661,16701.2104008609,47490.2374198557,5088.23577896668,8952.85136156836,795.34661139256
"2130",59836.0777650824,2543.78094762938,46829.5725063119,26862.1601135138,2313.23118732457,5448.53132933244,11857.9795072846,14781.9888520902,6795.28931047323,60363.9070634613,33955.3607031276,18271.1429445317,53951.9689470438,5597.52078919487,9833.89525907312,866.989938666853
"2140",63347.7417786306,2821.72058415411,50632.0392353237,29797.1844618865,2565.98040144296,5944.50652186946,12237.6714063818,16114.2102284607,7384.79216272977,66302.9736672503,37414.5794971317,19917.8230661977,60722.5393863045,6131.27384213731,10757.4433035298,942.202783679075
"2150",66793.0250470925,3094.40634670616,54362.6281953736,32676.7282453932,2813.95191442353,6445.4537378318,12660.9247482745,17501.1188473321,7999.39822350674,72470.004865395,41004.0449321966,21632.0988568211,67752.9907877956,6685.98852278966,11717.7268589008,1020.61846939772
"2160",70128.3257222581,3358.3872554092,57974.1268466222,35464.3493426815,3054.00751804742,6945.14427073058,13126.3278597449,18933.2889304829,8635.36653938423,78812.2130406239,44690.3733588922,23402.3196689163,74983.1449610873,7257.30578802023,12707.52730704,1101.75969915034
"2170",73311.1039075194,3610.29638126447,61420.4725415944,38124.493204159,3283.08543721461,7436.96502477453,13631.9420397699,20399.1582333015,9288.01816528062,85267.0016467366,48434.3738332866,25214.1940951383,82341.641479773,7839.99680101573,13718.1299838898,1185.02950081054
"2180",76301.3833075525,3846.96969805846,64658.3785272488,40623.7479203488,3498.30840998105,7914.10942467162,14175.1096234186,21884.9488635274,9951.67490918196,91762.3159339469,52191.4376668286,27050.6920970066,89746.3375103979,8427.96851935655,14739.3127137347,1269.70341142742
"2190",79063.2579995821,4065.56533963122,67648.9654927515,42932.1035708288,3697.09213621761,8369.795666725,14752.2213750301,23374.6328505511,10619.611553777,98217.3478958231,55912.1717725937,28892.0024471522,97105.1114560681,9014.29561678177,15759.3752324396,1354.92338133191
"2200",81566.3308661845,4263.67744832223,70359.3191196439,45024.1544563594,3877.24880766283,8797.50450674505,15358.4345099571,24849.9517304958,11284.0256873061,104543.623151876,59543.2853460149,30715.5569372792,104317.102008915,9591.28191337326,16765.2153956004,1439.69392494805
"2210",83859.423352635,4445.17012237725,72842.3037823665,46940.705201202,4042.2923088677,9191.45864041978,15953.4935938399,26271.2483276129,11925.7849551293,110599.963119771,63010.4792042434,32472.3376758082,111221.364764713,10145.0201819513,17731.7037467711,1521.57400434236
"2220",86005.7954087174,4615.05023243697,75166.4180199035,48734.6280312234,4196.77572421937,9547.08136478749,16490.653924146,27594.308287985,12523.1873503624,116237.703288977,66238.0288782344,34107.6939125115,117648.421317591,10660.4853798329,18631.3907242772,1597.79472760198
"2230",87981.3126290831,4771.40759921763,77305.5288443017,50385.7515783604,4338.96199915866,9860.58168700978,16964.1892892872,28798.4082986571,13066.8756577869,121368.538777339,69175.380709065,35596.010784797,123497.603588766,11129.603688043,19450.184378128,1667.16223658815
"2240",89760.7062403431,4912.24226097341,79232.2749619623,51872.9563776345,4467.0324338922,10129.0945323305,17369.7720566436,29864.4765807597,13548.2383807818,125911.202116222,71776.0098864342,36913.7147937656,128676.266191764,11544.9447265812,20175.1158092555,1728.57781709075
"2250",91317.5166531506,5035.46000578164,80918.0056512426,53174.1276883754,4579.08262059865,10350.7870281529,17704.6337123324,30775.694100139,13959.6812064739,129794.025091565,73998.8870769589,38040.0169251453,133102.706946102,11899.9557865546,20794.7479955628,1781.07253422692
