"","USA","CAN","WEU","JPK","ANZ","CEE","FSU","MDE","CAM","SAM","SAS","SEA","CHI","NAF","SSA","SIS"
"1990",254.071049310283,27.7169029507076,376.595758846709,166.445939619836,17.7904128806522,124.282222456645,288.2503732821,189.014487840834,106.286836877351,300.085033997032,1131.59607404348,444.056928867784,1184.14927957574,117.776636485974,494.598642577628,39.9416902643549
"2000",278.353741621732,31.0634333280108,387.446509214604,173.604586636665,20.4445363419556,125.492763026413,290.200899769736,237.401867867974,128.909882187527,351.93155436563,1366.81147496549,522.444965701512,1311.79278026198,143.484548162278,639.018921308885,45.7140327441936
"2010",296.777481849093,33.41165047148,397.093400560641,187.692966856759,22.8299711092218,127.586903950683,286.701971761776,284.524970255953,144.331470255464,392.79683041386,1566.00449011546,583.057101757977,1403.90544582551,171.674190071143,785.828910730112,49.9826928069634
"2020",306.862685771977,34.547057734543,407.221916495299,206.308710880785,25.0942908936148,130.841216381698,290.367850532025,338.088557458502,157.134690393158,431.182587132404,1762.07668759436,650.669849505197,1503.37012702503,209.054837776742,956.936714743654,54.4165104487405
"2030",313.473383265582,35.2912998942003,415.994638066004,218.454046539564,26.571584725372,133.659909371426,291.515590753057,387.42775201551,169.058914701908,459.993672812393,1926.99317545097,717.614856940201,1564.46223734144,245.537379150448,1123.93348773839,58.5459275435062
"2040",317.645137712632,35.7609622168577,421.530761941091,226.952349896055,27.6052730055204,135.438677047022,287.319266129006,429.323826624474,180.275599705878,476.5340132491,2046.45154985668,784.457769458118,1580.88786641113,278.90085837852,1276.65292989273,62.4303203226664
"2050",320.025578069024,36.0289557339548,424.68972368189,233.379894053075,28.3870851845564,136.453657773567,279.706202521145,462.806039242722,189.565889670634,483.264886302705,2127.56846254166,845.636255715317,1570.81361889692,308.19664950853,1410.75275947767,65.6475930946692
"2060",323.951279123425,36.4709169995736,429.899322571176,239.808630651722,29.1690424058299,138.127512318041,273.942180336606,488.963967917132,195.358305391724,487.691292302806,2201.1489691378,893.431856865404,1561.66475964872,333.799040958934,1527.94626059289,67.6535349387107
"2070",327.934273805494,36.9193284670404,435.184952929726,246.422260943828,29.9734891095314,139.825795925683,267.60459341595,506.750443313059,197.487802341972,490.891964317507,2271.42936859057,925.931191750479,1548.568667121,354.63730101784,1623.33221929067,68.3909901292468
"2080",330.265777223967,37.1818125908551,438.278972940656,250.791839933499,30.5049813852637,140.819910744511,261.973864369088,513.840876781354,195.76129603962,489.647178282798,2317.63228025768,938.886786753816,1531.974592822,368.651161132256,1687.4798726116,67.7930925675647
"2090",330.837206335555,37.2461449304472,439.037287550908,252.484356869368,30.710850115429,141.063558745727,259.753769023973,511.779450772979,192.41342418256,487.929919755801,2340.26148013445,935.120162243019,1526.6017518268,374.752264705331,1715.40732969233,66.6337081984292
"2100",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,258.548029104592,509.242924415878,190.505403672753,487.002137144891,2347.51313396379,930.485437392299,1523.69896906685,376.825273192166,1724.89640897949,65.972951380514
"2110",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,257.921202024567,508.063765845147,189.159137705349,485.821443063989,2353.02792273114,928.33088634046,1520.00489420221,375.911693280175,1729.1331629699,65.50673290324
"2120",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,257.361307822778,507.010408796621,187.961959918206,484.766824029412,2357.9762981127,926.406199031055,1516.70527431724,375.095665843113,1732.93515487444,65.092144390671
"2130",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,256.867915163311,506.082078490824,186.911142766693,483.837467575045,2362.35462104332,924.709959791942,1513.79756742356,374.376562223028,1736.29946227935,64.7282412807851
"2140",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,256.44064427088,505.278092657885,186.004300464707,483.032658354591,2366.15966567819,923.24092198395,1511.2795353946,373.753828909899,1739.22349422021,64.414197364207
"2150",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,256.079166443561,504.597860701717,185.23937995319,482.351777223744,2369.3886233532,921.998006473658,1509.14924109403,373.22698683145,1741.70499450689,64.1493016565607
"2160",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.78320363128,504.040882976854,184.614653150288,481.794300446237,2372.03910603971,920.980300312042,1507.40504589163,372.795630738818,1743.74204462443,63.9329557146643
"2170",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.552528079315,503.606750176716,184.128710442207,481.359799022331,2374.10914928743,920.187055616722,1506.04560756237,372.459428686963,1745.33306620473,63.7646713823782
"2180",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.386962036159,503.295142832264,183.780455380389,481.047938138552,2375.59721465069,919.617688655896,1505.06987856477,372.218121608894,1746.47682306438,63.6440689542143
"2190",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.286377525226,503.105830920164,183.569100557112,480.858476737677,2376.50219159361,919.271779132388,1504.47710469547,372.071522982935,1747.17242280514,63.5708757470332
"2200",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2210",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2220",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2230",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2240",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2250",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2260",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2270",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2280",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
"2290",330.783960534875,37.2401504389841,438.966627747668,253.138741914406,30.7904460210333,141.040855609597,255.250696179997,503.038673579805,183.494164637747,480.791267208202,2376.82339887102,919.149069666587,1504.26682411771,372.019518592454,1747.41931797408,63.5449250723038
