ISO3,NumericCode,Population
ABW,533,0.062152
AFG,4,12.412311
AGO,24,11.848385
ALB,8,3.28607
ARE,784,1.828437
ARG,32,32.618648
ARM,51,3.538164
AUS,36,16.9606
AUT,40,7.723954
AZE,31,7.242758
BDI,108,5.438959
BEL,56,10.006545
BEN,204,4.978489
BFA,854,8.811033
BGD,50,103.171957
BGR,100,8.841466
BHR,48,0.495927
BHS,44,0.256227
BIH,70,4.463422
BLR,112,10.151135
BLZ,84,0.187554
BOL,68,6.864839
BRA,76,149.003225
BRB,52,0.260933
BRN,96,0.258714
BTN,64,0.530801
BWA,72,1.286756
CAF,140,2.80674
CAN,124,27.541323
CHE,756,6.652873
CHL,152,13.274617
CHN,156,1176.883681
CIV,384,11.924873
CMR,120,11.780086
COD,180,34.612023
COG,178,2.35674
COL,170,33.102569
COM,174,0.411598
CPV,132,0.337953
CRI,188,3.119436
CUB,192,10.596986
CYP,196,0.766616
CZE,203,10.340877
DEU,276,79.053984
DJI,262,0.590393
DNK,208,5.141117
DOM,214,7.133491
DZA,12,25.758872
ECU,218,10.230931
EGY,818,56.134478
ERI,232,2.258649
ESP,724,39.202524
EST,233,1.565246
ETH,231,47.887864
FIN,246,4.99622
FJI,242,0.728575
FRA,250,56.666861
GAB,266,0.949493
GBR,826,57.134377
GEO,268,5.4104
GHA,288,14.773274
GIN,324,6.352282
GMB,270,0.955595
GNB,624,0.975265
GNQ,226,0.419188
GRC,300,10.22599
GTM,320,9.26382
GUY,328,0.743306
HKG,344,5.727942
HND,340,4.955302
HRV,191,4.77637
HTI,332,7.037915
HUN,348,10.377135
IDN,360,181.413398
IND,356,873.277799
IRL,372,3.510881
IRN,364,56.366212
IRQ,368,17.419113
ISL,352,0.255044
ISR,376,4.448348
ITA,380,57.048237
JAM,388,2.419901
JOR,400,3.565888
JPN,392,124.505243
KAZ,398,16.383881
KEN,404,23.724574
KGZ,417,4.372885
KHM,116,8.975597
KOR,410,42.918416
KWT,414,2.09535
LAO,418,4.258471
LBN,422,2.803032
LBR,430,2.075917
LBY,434,4.436663
LCA,662,0.138019
LKA,144,17.325769
LSO,426,1.703757
LTU,440,3.696035
LUX,442,0.38178
LVA,428,2.664447
MAC,446,0.343816
MAR,504,24.807461
MDA,498,4.365562
MDG,450,11.598647
MDV,462,0.223159
MEX,484,83.943135
MKD,807,1.996218
MLI,466,8.449915
MLT,470,0.362017
MMR,104,41.335188
MNE,499,0.615004
MNG,496,2.184139
MOZ,508,12.987292
MRT,478,2.034347
MUS,480,1.055869
MWI,454,9.404499
MYS,458,18.029824
NAM,516,1.432899
NCL,540,0.170335
NER,562,8.026592
NGA,566,95.212454
NIC,558,4.173435
NLD,528,14.965442
NOR,578,4.247286
NPL,524,18.90548
NZL,554,3.398175
OMN,512,1.812158
PAK,586,107.647918
PAN,591,2.470946
PER,604,22.071433
PHL,608,61.895169
PNG,598,4.615843
POL,616,37.960193
PRI,630,3.403168
PRT,620,9.895358
PRY,600,4.223413
PSE,275,2.101445
PYF,258,0.199906
QAT,634,0.476275
ROU,642,23.489156
RUS,643,147.531562
RWA,646,7.288883
SAU,682,16.233786
SDN,729,20.147592
SEN,686,7.526306
SGP,702,3.012968
SLB,90,0.311869
SLE,694,4.319763
SLV,222,5.270074
SOM,706,7.225089
SRB,688,9.517677
STP,678,0.119211
SUR,740,0.405169
SVK,703,5.288455
SVN,705,2.006404
SWE,752,8.567375
SWZ,748,0.822423
SYR,760,12.446168
TCD,148,5.96325
TGO,768,3.77431
THA,764,56.558196
TJK,762,5.283811
TKM,795,3.683978
TLS,626,0.737814
TON,776,0.095069
TTO,780,1.221121
TUN,788,8.242509
TUR,792,53.921758
TWN,158,20.478516
TZA,834,25.203848
UGA,800,17.354395
UKR,804,51.463101
URY,858,3.109598
USA,840,252.120309
UZB,860,20.398347
VCT,670,0.107489
VEN,862,19.632665
VNM,704,67.988855
VUT,548,0.146575
WSM,882,0.162797
YEM,887,11.709987
ZAF,710,36.800507
ZMB,894,8.036849
ZWE,716,10.432409
