Tue Mar 21 15:37:28 2023:NOTICE:printLogHeader: hector version 2.5.0
Tue Mar 21 15:37:28 2023:DEBUG:init: hello oc
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1765]=15.67992411
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1766]=15.35883081
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1767]=15.4005645
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1768]=16.0637302
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1769]=15.73509479
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1770]=15.74271509
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1771]=15.32197739
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1772]=15.11418329
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1773]=15.20466379
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1774]=15.87559318
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1775]=15.5891357
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1776]=15.37007702
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1777]=15.67345753
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1778]=15.89945625
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1779]=15.62745786
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1780]=16.0183808
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1781]=15.80695227
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1782]=15.71282083
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1783]=15.60726047
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1784]=15.22814126
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1785]=15.73271148
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1786]=15.46715712
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1787]=15.71033146
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1788]=16.34335434
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1789]=16.00040861
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1790]=16.05674391
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1791]=15.61644988
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1792]=15.44666919
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1793]=15.47797954
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1794]=16.16525997
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1795]=15.88313195
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1796]=15.6283698
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1797]=15.93865305
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1798]=16.12667274
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1799]=16.03734279
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1800]=16.2421417
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1801]=16.06373322
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1802]=16.07582361
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1803]=15.83103088
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1804]=15.67624811
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1805]=16.0941548
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1806]=15.95144317
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1807]=16.11756408
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1808]=16.7315469
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1809]=16.44016599
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1810]=16.52538808
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1811]=16.18886557
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1812]=15.92905063
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1813]=16.06491504
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1814]=16.71992349
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1815]=16.48749688
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1816]=16.39503385
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1817]=16.51722865
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1818]=16.84964888
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1819]=16.66519821
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1820]=16.96356441
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1821]=16.86010032
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1822]=16.79629808
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1823]=16.53271228
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1824]=16.47072526
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1825]=16.80867752
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1826]=16.62077908
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1827]=16.79991923
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1828]=17.4805645
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1829]=17.19408165
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1830]=17.31425157
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1831]=16.87772867
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1832]=16.73898675
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1833]=16.86449692
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1834]=17.45428534
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1835]=17.17048679
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1836]=17.23500429
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1837]=17.35383524
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1838]=17.64153847
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1839]=17.50517633
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1840]=17.57513248
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1841]=17.74554357
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1842]=17.59096172
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1843]=17.21821832
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1844]=17.1801219
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1845]=17.5993633
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1846]=17.39887857
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1847]=17.76051419
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1848]=18.30069373
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1849]=18.07478627
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1850]=18.22682479
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1851]=17.72630049
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1852]=17.47926155
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1853]=17.65848988
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1854]=18.34043133
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1855]=17.9916486
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1856]=17.95411805
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1857]=18.29156565
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1858]=18.4792763
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1859]=18.44950598
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1860]=18.520468
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1861]=18.43711983
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1862]=18.41589321
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1863]=18.09141101
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1864]=18.0938173
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1865]=18.66656838
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1866]=18.39468019
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1867]=18.76835617
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1868]=19.30124757
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1869]=18.88882504
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1870]=19.25812075
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1871]=18.76177377
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1872]=18.36534165
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1873]=18.9372989
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1874]=19.30481072
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1875]=18.75387609
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1876]=19.00214066
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1877]=19.0890591
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1878]=19.22817131
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1879]=19.48731539
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1880]=19.32682128
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1881]=19.32716624
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1882]=19.15816229
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1883]=18.70936137
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1884]=19.00988998
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1885]=19.20686906
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1886]=19.06781958
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1887]=19.32845364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1888]=19.78574643
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1889]=19.55277705
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1890]=19.77806486
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1891]=19.19967303
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1892]=18.94952176
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1893]=19.1784562
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1894]=19.83612848
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1895]=19.52250048
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1896]=19.17728772
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1897]=19.58218288
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1898]=19.50168111
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1899]=19.86870993
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1900]=19.75078793
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1901]=19.48762217
