Tue Mar 21 15:37:28 2023:NOTICE:printLogHeader: hector version 2.5.0
Tue Mar 21 15:37:28 2023:DEBUG:init: simpleNbox initialized.
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.atmos_c[-1]=588.071
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.veg_c[-1]=550
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.detritus_c[-1]=55
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.soil_c[-1]=1782
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.npp_flux0[-1]=50.0
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.f_nppv[-1]=0.35
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.f_nppd[-1]=0.60
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.f_litterd[-1]=0.98
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.f_lucv[-1]=0.1
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.f_lucd[-1]=0.01
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1765]=0.002996727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1766]=0.003343636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1767]=0.003344455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1768]=0.003345545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1769]=0.003346636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1770]=0.003347455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1771]=0.003712364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1772]=0.003713182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1773]=0.003714273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1774]=0.003715364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1775]=0.003716182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1776]=0.004101
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1777]=0.004102091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1778]=0.004102909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1779]=0.004104
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1780]=0.004105909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1781]=0.004593545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1782]=0.004594636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1783]=0.004596545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1784]=0.004597636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1785]=0.004600636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1786]=0.005223273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1787]=0.005225182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1788]=0.005226273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1789]=0.005228182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1790]=0.005230091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1791]=0.005841818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1792]=0.005971636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1793]=0.005976545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1794]=0.005967545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1795]=0.005970545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1796]=0.006259364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1797]=0.006571091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1798]=0.006844091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1799]=0.007207636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1800]=0.007661455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1801]=0.007625455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1802]=0.010031727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1803]=0.008587636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1804]=0.009357273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1805]=0.009114273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1806]=0.009558
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1807]=0.010056545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1808]=0.009562909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1809]=0.00957
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1810]=0.010194545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1811]=0.010795091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1812]=0.011183727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1813]=0.011241818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1814]=0.011489727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1815]=0.011860364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1816]=0.012999545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1817]=0.013481182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1818]=0.013539273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1819]=0.013622182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1820]=0.013824
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1821]=0.014027727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1822]=0.014581364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1823]=0.015422727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1824]=0.015961364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1825]=0.016569818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1826]=0.016750909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1827]=0.017976818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1828]=0.018173727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1829]=0.018107727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1830]=0.024306273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1831]=0.023053091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1832]=0.023212091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1833]=0.023674636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1834]=0.024132545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1835]=0.024667091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1836]=0.028575273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1837]=0.028552091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1838]=0.029466545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1839]=0.030439909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1840]=0.032435455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1841]=0.033441545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1842]=0.035319273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1843]=0.036232636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1844]=0.038569909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1845]=0.042330273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1846]=0.043034727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1847]=0.047018727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1848]=0.047404364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1849]=0.050048455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1850]=0.053698909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1851]=0.054219545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1852]=0.056604818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1853]=0.059238818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1854]=0.069583364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1855]=0.070954364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1856]=0.075625091
