countries,input_output_mapping,
ABW,SIS,16
AFG,SAS,11
AGO,SSA,15
ALB,EEU,6
ARE,MDE,8
ARG,LAM,10
ARM,FSU,7
AUS,ANZ,5
AUT,WEU,3
AZE,FSU,7
BDI,SSA,15
BEL,WEU,3
BEN,SSA,15
BFA,SSA,15
BGD,SAS,11
BGR,EEU,6
BHR,MDE,8
BHS,SIS,16
BIH,EEU,6
BLR,FSU,7
BLZ,CAM,9
BOL,LAM,10
BRA,LAM,10
BRB,SIS,16
BRN,SEA,12
BTN,SAS,11
BWA,SSA,15
CAF,SSA,15
CAN,CAN,2
CHE,WEU,3
CHL,LAM,10
CHN,CHI,13
CIV,SSA,15
CMR,SSA,15
COD,SSA,15
COG,SSA,15
COL,LAM,10
COM,SIS,16
CPV,SSA,15
CRI,CAM,9
CUB,SIS,16
CYP,WEU,3
CZE,EEU,6
DEU,WEU,3
DJI,SSA,15
DNK,WEU,3
DOM,SIS,16
DZA,MAF,14
ECU,LAM,10
EGY,MAF,14
ERI,SSA,15
ESP,WEU,3
EST,FSU,7
ETH,SSA,15
FIN,WEU,3
FJI,SIS,16
FRA,WEU,3
GAB,SSA,15
GBR,WEU,3
GEO,FSU,7
GHA,SSA,15
GIN,SSA,15
GMB,SSA,15
GNB,SSA,15
GNQ,SSA,15
GRC,WEU,3
GTM,CAM,9
GUY,LAM,10
HKG,CHI,13
HND,CAM,9
HRV,EEU,6
HTI,SIS,16
HUN,EEU,6
IDN,SEA,12
IND,SAS,11
IRL,WEU,3
IRN,MDE,8
IRQ,MDE,8
ISL,WEU,3
ISR,MDE,8
ITA,WEU,3
JAM,SIS,16
JOR,MDE,8
JPN,JPK,4
KAZ,FSU,7
KEN,SSA,15
KGZ,FSU,7
KHM,SEA,12
KOR,JPK,4
KWT,MDE,8
LAO,SEA,12
LBN,MDE,8
LBR,SSA,15
LBY,MAF,14
LCA,SIS,16
LKA,SAS,11
LSO,SSA,15
LTU,FSU,7
LUX,WEU,3
LVA,FSU,7
MAC,CHI,13
MAR,MAF,14
MDA,FSU,7
MDG,SSA,15
MDV,SIS,16
MEX,CAM,9
MKD,EEU,6
MLI,SSA,15
MLT,WEU,3
MMR,SEA,12
MNE,EEU,6
MNG,CHI,13
MOZ,SSA,15
MRT,SSA,15
MUS,SIS,16
MWI,SSA,15
MYS,SEA,12
NAM,SSA,15
NCL,SIS,16
NER,SSA,15
NGA,SSA,15
NIC,CAM,9
NLD,WEU,3
NOR,WEU,3
NPL,SAS,11
NZL,ANZ,5
OMN,MDE,8
PAK,SAS,11
PAN,CAM,9
PER,LAM,10
PHL,SEA,12
PNG,SEA,12
POL,EEU,6
PRI,CAM,9
PRT,WEU,3
PRY,LAM,10
PSE,MDE,8
PYF,SIS,16
QAT,MDE,8
ROU,EEU,6
RUS,FSU,7
RWA,SSA,15
SAU,MDE,8
SDN,SSA,15
SEN,SSA,15
SGP,SEA,12
SLB,SIS,16
SLE,SSA,15
SLV,CAM,9
SOM,SSA,15
SRB,EEU,6
STP,SIS,16
SUR,LAM,10
SVK,EEU,6
SVN,EEU,6
SWE,WEU,3
SWZ,SSA,15
SYR,MDE,8
TCD,SSA,15
TGO,SSA,15
THA,SEA,12
TJK,FSU,7
TKM,FSU,7
TLS,SEA,12
TON,SIS,16
TTO,SIS,16
TUN,MAF,14
TUR,MDE,8
TWN,SEA,12
TZA,SSA,15
UGA,SSA,15
UKR,FSU,7
URY,LAM,10
USA,USA,1
UZB,FSU,7
VCT,SIS,16
VEN,LAM,10
VNM,SEA,12
VUT,SIS,16
WSM,SIS,16
YEM,MDE,8
ZAF,SSA,15
ZMB,SSA,15
ZWE,SSA,15
