model,scenario,region,variable,unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10AFRICA,Final Energy,EJ/yr,10.14464613,11.23800334,16.77224395,NA,21.08637964,NA,27.62271452,NA,34.29498528,NA,44.27696492,NA,56.70211946,NA,71.04727499,NA,91.06657048,NA,114.5635288,NA,144.3120752
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10CHINA+,Final Energy,EJ/yr,34.26728786,47.91249366,66.65795779,NA,87.43161057,NA,102.4683528,NA,102.5984142,NA,103.1925012,NA,99.97159653,NA,97.82680645,NA,94.19610484,NA,90.60777568,NA,86.71786617
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10EUROPE,Final Energy,EJ/yr,55.25202039,59.41518102,58.48178485,NA,64.00850257,NA,63.83115273,NA,61.58260368,NA,61.41721877,NA,63.31411976,NA,65.35208963,NA,67.74246646,NA,70.66959612,NA,73.84881675
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10INDIA+,Final Energy,EJ/yr,18.13708586,21.30011916,25.93375449,NA,35.20873814,NA,48.89035268,NA,64.85967597,NA,78.23459999,NA,87.52615184,NA,100.4099075,NA,116.1323791,NA,133.2327412,NA,151.0252234
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10LATIN_AM,Final Energy,EJ/yr,18.59390051,20.60340017,24.28011873,NA,30.47574491,NA,36.18063198,NA,40.56471958,NA,42.90888632,NA,46.41293571,NA,50.76510905,NA,54.17576928,NA,60.32886757,NA,65.19768549
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10MIDDLE_EAST,Final Energy,EJ/yr,13.73600754,17.66923491,22.86609216,NA,30.61237989,NA,39.93886849,NA,49.26089479,NA,54.11216189,NA,61.12014144,NA,68.62917123,NA,75.39923051,NA,80.23271107,NA,87.06762144
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10NORTH_AM,Final Energy,EJ/yr,72.2755001,74.31337595,71.14406966,NA,76.19344945,NA,82.73007106,NA,86.37489662,NA,78.8839394,NA,76.30129302,NA,76.18999679,NA,78.12315291,NA,79.86424097,NA,81.27374878
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10PAC_OECD,Final Energy,EJ/yr,17.90237941,18.17999554,17.72024398,NA,19.12384057,NA,19.83311345,NA,19.61759476,NA,17.87976932,NA,17.08373974,NA,17.04658109,NA,16.9720463,NA,16.83568066,NA,16.61281794
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10REF_ECON,Final Energy,EJ/yr,23.65846602,24.82187948,26.01172312,NA,29.45044989,NA,29.65373025,NA,30.64636292,NA,28.20578723,NA,27.84879259,NA,29.23258108,NA,29.47187149,NA,29.29620095,NA,29.49653186
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,R10REST_ASIA,Final Energy,EJ/yr,18.01722527,21.30193832,25.22995784,NA,31.46865383,NA,38.16618265,NA,44.61291123,NA,49.31410749,NA,50.3408037,NA,52.24533629,NA,55.31886003,NA,58.47830447,NA,60.40472055
