year,,,,,,,,,,,,,,,,
,USA,CAN,WEU  ,JPK,ANZ,CEE,FSU,MDE,CAM,SAM,SAS,SEA,CHI,NAF,SSA,SIS
1995,7639.749,604.0316234,9760.587363,6112.147091,432.0594816,401.747226,523.3153351,724.6145403,415.1100837,1384.86106,476.7243592,952.1091095,887.6990863,184.5288507,367.5914011,118.4123033
1996,7927.963535,615.278788,9924.102987,6330.64532,448.5690614,422.3296838,505.5340857,767.0792639,440.9227718,1426.343896,509.6537006,1018.207191,966.7480352,196.3403938,385.7842046,123.8880375
1997,8280.533943,626.7353766,10212.00837,6424.485291,464.8869729,435.0403054,514.5098101,803.6638449,469.928288,1496.268851,529.0400297,1063.279881,1049.058175,201.6722517,401.1389386,129.5621851
1998,8651.61733,651.1539385,10520.5803,6317.827002,483.7547946,448.3624899,496.7582675,834.4665024,494.245948,1516.671218,558.4720483,1024.627839,1108.668005,212.7856413,409.4842259,134.1438027
1999,9066.41904,684.7724539,10828.96794,6369.390239,508.0683449,457.2270433,522.7498315,834.4724086,508.3586044,1499.913256,602.0548402,1073.030231,1185.177944,221.4128225,420.0312243,141.5590743
2000,9436.071404,720.2274767,11246.70019,6588.693694,527.1734142,476.0673264,569.9900838,891.6968458,532.6450687,1544.918014,626.4635623,1138.579228,1284.237097,231.0307488,435.0298174,147.6217793
2001,9526.123487,733.1193532,11478.2538,6647.563593,538.9871377,489.5506306,602.9644725,885.8140255,532.2168844,1551.799933,655.1067719,1152.897426,1378.022184,239.1691526,451.7924704,153.3614805
2002,9687.681105,755.2452656,11588.58427,6710.653128,561.0329714,506.266702,633.6903347,908.071705,534.009602,1548.913034,679.7377886,1211.883322,1491.415577,245.6204781,474.4473249,156.6496182
2003,9958.568925,768.851146,11696.17029,6827.300313,579.6407326,525.9250423,681.8564275,958.6844952,543.104047,1588.133841,729.0425087,1274.989547,1629.443242,260.4004492,491.9108488,159.9923667
2004,10342.22803,792.5854333,11969.8879,7002.813442,603.9244118,555.6165219,735.3037059,1040.94847,564.734239,1697.441873,783.9086027,1361.239284,1793.221569,272.2551436,520.9766375,169.3276407
