# Index: time, region,,,,,,,
# Units: million person,,,,,,,,
,,,,,,,,
,EU,US,OT,EE,CA,IA,AF,LA
2009,498.905619,306.771529,272.468344,302.912943,1494.66025,2154.211145,1235.489065,581.721489
2010,500.023492,309.327143,274.366845,304.081605,1502.775447,2184.634141,1267.576279,587.847764
2020,511.4266261,330.9160315,293.4589562,315.3002146,1592.739592,2469.309666,1616.376229,649.9763563
2030,522.0301297,355.8305551,304.6768805,315.4357267,1603.276809,2719.055504,1931.703234,697.3719951
2040,529.4973525,377.7148584,311.8585117,314.3716034,1565.147034,2921.136917,2239.584777,729.8388259
2050,534.1092237,396.5119709,316.247259,312.3483621,1485.831353,3066.136422,2521.929686,746.8841559
2075,527.816555,437.8936728,313.5757798,297.2087161,1202.813309,3130.294556,3017.828794,731.4795936
2100,502.9572468,451.9566796,291.1132544,271.0438539,936.1616326,2888.960213,3214.880091,673.3702244
2150,458.024033,456.3977811,253.838705,233.6449967,664.030386,2486.12175,3372.484184,588.3312238
2200,445.6999501,457.7853166,243.8593648,223.2434851,598.1165144,2377.30432,3431.610514,564.8457472
